,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
32,Africa,afri,Can't You Hear Me Knocking,cyhm,Dirty Love,dirt,Got Your Milk (Right Here),milk,Jane Says,jane,Medley,MEDL,Pooh Doggie,POOH,Sir Duke,duke,The Pequod,PEQU,White Room,room
33,After Midnight,amid,Can't You See,cys,Divisions,DIVS,Graceland,grac,Japanese Cowboy,jcow,Meeting in the Aisle,aisl,Porch,porc,Sirius,siri,The Plot Thickens,PLOT,White Wedding,wedd
34,Against All Odds,odds,Canary in a Coalmine,ciac,Domino Theory,DOMI,Gravity's Real,REAL,Jared,JARD,Memories of Home,HOME,Pork Chop Pie,chop,Sister Christian,sist,The Rain Song,rain,Whitehouse Road,whrd
35,Ahab,AHAB,Cantaloupe Island,cais,Don't Do It,dodi,Great American,GAMR,Jazz Odyssey,JAZZ,Memphis Underground,memp,Pour Some Sugar On Me,pssm,Skin the Cat,CAT,The Safety Dance,safe,Who Knows,whok
36,Ain't No Fun (If the Homies Can't Have None),hchn,Cantaloupe Woman,cawo,"Don't Fear the Doves, Snucka",dftd,Groove Holmes,groo,Jekyll & Hyde,HYDE,Mercedes Benz,benz,Pow,pow,Skip,SKIP,The Show Goes On,goes,Whole Lotta Love,wll
37,Ain't No Sunshine,anos,Cantina Band,cban,Don't Fight It,figh,Gulf Stream,GULF,Jessica,jess,"Mercy, Mercy, Mercy",merc,Power of Love,pluv,Slacker,SLAC,The Silent Type,SILE,Wife Soup,SOUP
38,Ain't Too Proud to Beg,beg,Carol of the Bells,clob,Don't Stop 'til You Get Enough,dsge,Gurgle,GURG,Jesus Is Just Alright,jesu,Message in a Bottle,miab,Power of Soul,psol,Sledgehammer,sldg,"The Skunk, The Goose, and The Fly",goos,Wild Side,wild
39,Alex's House,ALEX,Carry That Weight,ctw,Don't Stop Until Crosstown Traffic,xtwn,Gut Strut,GUT,Jimmy Stewart,STEW,Miami Virtue,MIAM,Preamble,PRMB,Sliding Down,slid,The Song Remains the Same,srts,Willie the Pimp,pimp
40,All Blues,blue,Cars Trucks Buses,ctb,Don't Stop the Spirit of the Radio,sotr,Hair Band Medley,HAIR,Jive Talkin',jive,Mike's Song,mike,Professor Wormbog,prof,Slipknot!,slpk,The Star Spangled Banner,spng,Winston Built the Bridge,wbtb
41,All I Need,alin,Cat Scratch Fever,csf,Don't You (Forget About Me),dntu,Hajimemashite,haj,Join Together,join,Miles Beyond,beyo,Prophecy Now,NOW,Slow,SLOW,The Stranger,strg,Wish,wish
